Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Starter;E. Naigre;24;26;0,43;24,43;3;8;0,375;1;3;0,333333333;2;5;0,4;2;3;0,666666667;;;;;;;;10;1;4;5;1;3;0;1;0;4;3;-13;8;13;E. Naigre;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Starter;A. Jenkins;15;53;0,88;15,88;2;6;0,333333333;2;5;0,4;0;1;0;3;5;0,6;;;;;;;;7;3;4;7;0;5;1;0;0;0;4;-3;4;24;A. Jenkins;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Starter;G. Rabot;32;33;0,55;32,55;2;7;0,285714286;2;6;0,333333333;0;1;0;0;0;;;;;;;;;4;0;4;4;5;3;3;0;1;3;1;-2;8;26;G. Rabot;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Starter;M. Toure;34;49;0,82;34,82;6;13;0,461538462;3;8;0,375;3;5;0,6;6;6;1;;;;;;;;21;0;1;1;3;4;2;0;0;1;3;-14;16;28;M. Toure;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;Capitaine;Starter;R. Bernies;37;2;0,03;37,03;4;9;0,444444444;1;5;0,2;3;4;0,75;0;0;;;;;;;;;11;0;3;3;8;2;1;0;0;4;2;-10;16;47;R. Bernies(C);;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Banc;M. Traore;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;M. Traore;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Banc;E. Zemoura;10;21;0,35;10,35;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;1;1;2;1;1;0;0;0;2;0;-5;2;2;E. Zemoura;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Banc;A. Brun;3;50;0,83;3,83;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-12;0;4;A. Brun;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Banc;S. Caetano;0;58;0,97;0,97;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-6;0;8;S. Caetano;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Banc;A. Alston;25;3;0,05;25,05;2;7;0,285714286;1;4;0,25;1;3;0,333333333;0;0;;;;;;;;;5;0;3;3;0;3;0;0;1;2;1;-17;0;22;A. Alston;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Banc;K. Linskens;15;6;0,1;15,1;2;5;0,4;2;5;0,4;0;0;;0;0;;;;;;;;;4;1;2;3;1;2;0;0;0;1;0;-18;3;31;K. Linskens;;;
23-24;18;Championat de France;Domicile;Defaite;Angers;;Banc;TOTAUX EQUIPE;;;;;21;55;0,381818182;12;36;0,333333333;9;19;0,473684211;11;14;0,785714286;9;20;0;14;9;3;12;62;6;30;36;19;23;7;1;2;18;14;0;65;;TOTAUX EQUIPE;;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;;Starter;E. Naigre;32;57;0,95;32,95;8;13;0,615384615;5;8;0,625;3;5;0,6;0;0;;;;;;;;;19;0;0;0;1;2;0;0;1;2;4;-5;13;13;E. Naigre;;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;;Starter;A. Alston;31;25;0,42;31,42;2;6;0,333333333;2;3;0,666666667;0;3;0;6;7;0,857142857;;;;;;;;10;1;2;3;5;3;0;0;0;1;4;14;10;22;A. Alston;;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;;Starter;A. Jenkins;30;57;0,95;30,95;1;4;0,25;0;1;0;1;3;0,333333333;4;4;1;;;;;;;;7;2;6;8;0;0;2;0;1;2;2;7;14;24;A. Jenkins;;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;;Starter;G. Rabot;27;16;0,27;27,27;3;4;0,75;2;3;0,666666667;1;1;1;4;4;1;;;;;;;;11;2;5;7;1;3;4;0;0;0;3;16;19;26;G. Rabot;;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;;Starter;M. Toure;31;4;0,07;31,07;5;10;0,5;4;7;0,571428571;1;3;0,333333333;0;0;;;;;;;;;11;1;3;4;7;3;1;0;0;4;1;11;15;28;M. Toure;;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;;Banc;M. Lokoka;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;M. Lokoka;;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;;Banc;E. Zemoura;3;17;0,28;3,28;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;1;0;0;0;0;1;0;-1;0;2;E. Zemoura;;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;;Banc;L. Djoko;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;4;L. Djoko;;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;;Banc;S. Caetano;7;21;0,35;7,35;2;2;1;2;2;1;0;0;;3;3;1;;;;;;;;7;0;0;0;0;0;0;0;0;0;2;-5;7;8;S. Caetano;;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;Capitaine;Banc;R. Bernies;35;43;0,72;35,72;5;12;0,416666667;4;6;0,666666667;1;6;0,166666667;3;4;0,75;;;;;;;;14;0;2;2;6;4;3;0;0;2;4;8;13;47;R. Bernies(C);;;
23-24;19;Championat de France;Exterieur;Victoire;Charleville-Mézières;;Banc;TOTAUX EQUIPE;;;;;26;52;0,5;19;31;0,612903226;7;21;0,333333333;20;22;0,909090909;21;26;2;14;21;11;13;79;7;22;29;21;17;10;0;2;12;20;0;94;;TOTAUX EQUIPE;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Starter;E. Naigre;32;37;0,62;32,62;;;;2;5;0,4;3;5;0,6;1;1;1;;;;;;;;14;0;5;5;4;4;1;1;0;3;1;13;16;13;E. Naigre;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Starter;A. Alston;32;23;0,38;32,38;;;;3;10;0,3;2;5;0,4;2;4;0,5;;;;;;;;14;1;3;4;6;2;2;0;1;1;3;25;12;22;A. Alston;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Starter;G. Rabot;30;51;0,85;30,85;6;11;0,545454545;5;9;0,555555556;1;2;0,5;0;0;;;;;;;;;13;1;5;6;1;1;2;0;0;3;0;19;16;26;G. Rabot;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Starter;M. Toure;28;11;0,18;28,18;;;;2;4;0,5;5;5;1;0;0;;;;;;;;;19;2;4;6;4;1;1;0;0;1;0;16;27;28;M. Toure;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;Capitaine;Starter;R. Bernies;35;9;0,15;35,15;;;;5;6;0,833333333;0;2;0;0;0;;;;;;;;;10;0;1;1;5;1;1;0;0;3;2;24;13;47;R. Bernies(C);;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Banc;M. Traore;0;57;0,95;0,95;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;2;0;1;M. Traore;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Banc;E. Zemoura;7;60;1;8;;;;1;2;0,5;0;0;;0;0;;;;;;;;;2;1;2;3;1;1;0;0;0;0;0;3;4;2;E. Zemoura;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Banc;L. Djoko;0;57;0,95;0,95;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;2;0;3;L. Djoko;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Banc;S. Caetano;4;54;0,9;4,9;1;3;0,333333333;1;3;0,333333333;0;0;;0;0;;;;;;;;;2;1;1;2;1;2;1;0;0;2;0;-2;2;8;S. Caetano;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Banc;A. Brun;1;37;0,62;1,62;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;2;-2;11;A. Brun;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Banc;A. Jenkins;24;26;0,43;24,43;2;10;0,2;2;8;0,25;0;2;0;4;5;0,8;;;;;;;;8;3;7;10;5;3;4;1;0;1;5;16;16;24;A. Jenkins;;;
23-24;20;Championat de France;Domicile;Victoire;Tarbes;;Banc;TOTAUX EQUIPE;;;;;32;69;0,463768116;21;48;0,4375;11;21;0,523809524;7;10;0,7;20;26;9;20;12;25;10;82;12;32;44;27;18;12;2;1;14;11;0;109;;TOTAUX EQUIPE;;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;;Starter;E. Naigre;34;49;0,82;34,82;7;14;0,5;7;10;0,7;0;4;0;4;4;1;;;;;;;;18;2;5;7;4;0;2;1;0;2;3;-3;25;13;E. Naigre;;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;;Starter;A. Alston;29;59;0,98;29,98;4;12;0,333333333;0;5;0;4;7;0,571428571;2;2;1;;;;;;;;14;3;4;7;2;2;2;0;1;1;1;12;15;22;A. Alston;;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;;Starter;G. Rabot;32;5;0,08;32,08;6;9;0,666666667;4;5;0,8;2;4;0,5;2;2;1;;;;;;;;16;1;7;8;5;0;3;1;0;3;3;10;30;26;G. Rabot;;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;;Starter;M. Toure;31;42;0,7;31,7;6;15;0,4;4;9;0,444444444;2;6;0,333333333;0;0;;;;;;;;;14;0;4;4;3;0;1;0;0;2;2;-1;13;28;M. Toure;;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;Capitaine;Starter;R. Bernies;39;7;0,12;39,12;6;18;0,333333333;2;7;0,285714286;4;11;0,363636364;1;2;0,5;;;;;;;;17;1;0;1;6;2;4;0;0;0;2;3;13;47;R. Bernies(C);;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;A. Brun;2;8;0,13;2,13;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;4;0;1;A. Brun;;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;E. Zemoura;14;43;0,72;14,72;1;2;0,5;1;2;0,5;0;0;;0;0;;;;;;;;;2;1;2;3;0;2;1;0;0;4;0;-4;3;2;E. Zemoura;;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;L. Djoko;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;4;L. Djoko;;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;S. Caetano;15;27;0,45;15,45;2;6;0,333333333;2;4;0,5;0;2;0;2;3;0,666666667;;;;;;;;6;2;1;3;0;1;1;1;0;0;1;-6;5;8;S. Caetano;;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;M. Traore;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;23;M. Traore;;;
23-24;21;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;32;76;0,421052632;20;42;0,476190476;12;34;0,352941176;11;13;0,846153846;19;34;14;8;8;4;10;87;10;25;35;20;7;14;3;1;12;12;0;106;;TOTAUX EQUIPE;;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;;Starter;E. Naigre;32;51;0,85;32,85;6;12;0,5;3;7;0,428571429;3;5;0,6;0;0;;;;;;;;;15;0;4;4;0;3;3;0;0;4;1;-26;13;13;E. Naigre;;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;;Starter;A. Alston;30;22;0,37;30,37;7;11;0,636363636;5;7;0,714285714;2;4;0,5;1;2;0,5;;;;;;;;17;0;1;1;0;1;1;0;0;0;3;-21;13;22;A. Alston;;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;;Starter;G. Rabot;30;58;0,97;30,97;2;8;0,25;2;6;0,333333333;0;2;0;1;2;0,5;;;;;;;;5;1;2;3;3;1;1;0;0;3;1;-26;4;26;G. Rabot;;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;;Starter;M. Toure;26;46;0,77;26,77;2;7;0,285714286;2;3;0,666666667;0;4;0;3;3;1;;;;;;;;7;1;4;5;5;2;1;0;0;2;3;-21;11;28;M. Toure;;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;Capitaine;Starter;R. Bernies;28;23;0,38;28,38;3;9;0,333333333;1;2;0,5;2;7;0,285714286;0;0;;;;;;;;;8;1;0;1;3;3;0;0;0;1;3;-26;3;47;R. Bernies(C);;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;;Banc;M. Traore;3;22;0,37;3,37;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;-1;-1;1;M. Traore;;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;;Banc;E. Zemoura;12;41;0,68;12,68;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;1;0;1;3;0;0;0;0;4;0;-11;3;2;E. Zemoura;;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;;Banc;L. Djoko;6;22;0,37;6,37;1;1;1;1;1;1;0;0;;0;0;;;;;;;;;2;0;0;0;0;2;0;0;0;3;0;-5;0;3;L. Djoko;;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;;Banc;A. Brun;12;45;0,75;12,75;1;3;0,333333333;1;2;0,5;0;1;0;0;0;;;;;;;;;2;0;0;0;1;1;0;0;0;0;0;-20;0;4;A. Brun;;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;;Banc;S. Caetano;15;30;0,5;15,5;0;5;0;0;3;0;0;2;0;2;4;0,5;;;;;;;;2;0;0;0;0;0;0;0;1;2;2;-8;-5;8;S. Caetano;;;
23-24;22;Championat de France;Domicile;Defaite;Bourges;;Banc;TOTAUX EQUIPE;;;;;22;57;0,385964912;15;32;0,46875;7;25;0,28;7;11;0,636363636;10;22;6;10;6;;6;58;4;14;18;15;14;6;0;1;19;13;0;44;;TOTAUX EQUIPE;;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;;Starter;E. Naigre;33;57;0,95;33,95;5;11;0,454545455;2;5;0,4;3;6;0,5;2;2;1;;;;;;;;15;0;5;5;4;4;0;0;0;2;1;9;14;13;E. Naigre;;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;;Starter;A. Jenkins;32;5;0,08;32,08;3;7;0,428571429;2;6;0,333333333;1;1;1;6;8;0,75;;;;;;;;13;2;9;11;2;1;3;0;0;3;5;19;22;24;A. Jenkins;;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;;Starter;G. Rabot;17;59;0,98;17,98;1;3;0,333333333;1;3;0,333333333;0;0;;0;0;;;;;;;;;2;1;2;3;0;2;5;0;0;5;1;3;6;26;G. Rabot;;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;;Starter;M. Toure;35;18;0,3;35,3;4;8;0,5;2;5;0,4;2;3;0,666666667;2;2;1;;;;;;;;12;0;1;1;3;3;1;0;1;4;1;22;10;28;M. Toure;;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;Capitaine;Starter;R. Bernies;37;16;0,27;37,27;4;6;0,666666667;1;1;1;3;5;0,6;2;2;1;;;;;;;;13;0;6;6;5;1;1;0;0;2;4;20;22;47;R. Bernies(C);;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;;Banc;A. Brun;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;A. Brun;;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;;Banc;E. Zemoura;1;54;0,9;1,9;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-8;-1;2;E. Zemoura;;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;;Banc;L. Djoko;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;4;L. Djoko;;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;;Banc;S. Caetano;5;59;0,98;5,98;0;1;0;0;1;0;0;0;;2;2;1;;;;;;;;2;0;1;1;0;0;1;0;0;0;1;1;3;8;S. Caetano;;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;;Banc;A. Alston;35;32;0,53;35,53;7;15;0,466666667;4;8;0,5;3;7;0,428571429;3;4;0,75;;;;;;;;20;1;2;3;4;2;0;0;2;0;5;9;16;22;A. Alston;;;
23-24;1/4 finale Aller;Playoff;Exterieur;Victoire;Charnay;;Banc;TOTAUX EQUIPE;;;;;24;52;0,461538462;12;30;0,4;12;22;0,545454545;17;20;0,85;17;20;7;4;22;22;13;77;5;30;35;18;15;11;0;3;16;18;0;95;;TOTAUX EQUIPE;;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;;Starter;E. Naigre;35;46;0,77;35,77;11;13;0,846153846;9;10;0,9;2;3;0,666666667;2;2;1;;;;;;;;26;2;7;9;2;4;0;0;0;3;2;-10;31;13;E. Naigre;;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;;Starter;A. Alston;32;8;0,13;32,13;5;13;0,384615385;5;11;0,454545455;0;2;0;5;6;0,833333333;;;;;;;;15;3;0;3;1;2;0;0;1;1;7;-8;8;22;A. Alston;;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;;Starter;A. Jenkins;32;2;0,03;32,03;1;5;0,2;1;3;0,333333333;0;2;0;3;5;0,6;;;;;;;;5;1;3;4;2;1;0;0;0;3;4;-13;4;24;A. Jenkins;;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;;Starter;M. Toure;30;36;0,6;30,6;1;3;0,333333333;1;2;0,5;0;1;0;2;3;0,666666667;;;;;;;;4;0;3;3;1;5;1;1;0;2;3;-6;2;28;M. Toure;;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;Capitaine;Starter;R. Bernies;36;28;0,47;36,47;1;7;0,142857143;0;3;0;1;4;0,25;2;2;1;;;;;;;;5;0;4;4;11;8;1;0;0;3;6;-7;7;47;R. Bernies(C);;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;;Banc;E. Zemoura;2;56;0,93;2,93;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;3;0;2;E. Zemoura;;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;;Banc;L. Djoko;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3;L. Djoko;;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;;Banc;A. Brun;0;5;0,08;0,08;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;4;A. Brun;;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;;Banc;S. Caetano;5;20;0,33;5,33;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;-3;0;8;S. Caetano;;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;;Banc;G. Rabot;24;39;0,65;24,65;3;5;0,6;3;5;0,6;0;0;;3;4;0,75;;;;;;;;9;0;3;3;1;0;2;0;0;4;3;-11;12;26;G. Rabot;;;
23-24;1/4 finale Retour;Playoff;Domicile;Defaite;Charnay;;Banc;TOTAUX EQUIPE;ERREUR;ERREUR;ERREUR;ERREUR;22;46;0,47826087;19;34;0,558823529;3;12;0,25;17;22;0,772727273;9;28;10;4;9;5;5;64;7;22;29;18;20;4;1;1;17;26;0;67;;TOTAUX EQUIPE;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Starter;E. Naigre;34;6;0,1;34,1;5;16;0,3125;2;8;0,25;3;8;0,375;1;2;0,5;;;;;;;;14;0;2;2;0;2;3;1;0;4;5;-31;6;13;E. Naigre;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Starter;A. Alston;27;23;0,38;27,38;5;10;0,5;2;5;0,4;3;5;0,6;2;2;1;;;;;;;;15;1;2;3;2;2;0;0;0;1;2;-23;13;22;A. Alston;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Starter;A. Jenkins;21;17;0,28;21,28;2;7;0,285714286;2;6;0,333333333;0;1;0;3;6;0,5;;;;;;;;7;4;1;5;3;4;0;0;2;3;4;-19;3;24;A. Jenkins;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Starter;G. Rabot;28;26;0,43;28,43;1;5;0,2;1;3;0,333333333;0;2;0;0;0;;;;;;;;;2;2;3;5;2;0;1;0;0;2;2;-27;6;26;G. Rabot;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;Capitaine;Starter;R. Bernies;36;24;0,4;36,4;4;13;0,307692308;2;4;0,5;2;9;0,222222222;3;3;1;;;;;;;;13;2;0;2;7;1;4;0;0;4;2;-21;16;47;R. Bernies(C);;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;L. Djoko;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;L. Djoko;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;M. Lokoka;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;M. Lokoka;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;T. Kakova;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3;T. Kakova;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;A. Brun;1;2;0,03;1,03;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;3;-2;4;A. Brun;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;S. Caetano;1;38;0,63;1,63;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;2;0;-4;0;8;S. Caetano;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;M. Toure;28;35;0,58;28,58;2;8;0,25;1;4;0,25;1;4;0,25;3;4;0,75;;;;;;;;8;2;0;2;2;4;2;0;0;2;3;-25;3;28;M. Toure;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;K. Linskens;21;10;0,17;21,17;2;5;0,4;2;4;0,5;0;1;0;1;2;0,5;;;;;;;;5;0;7;7;0;0;0;0;0;1;1;-8;8;31;K. Linskens;;;
23-24;1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;ERREUR;ERREUR;ERREUR;ERREUR;21;66;0,318181818;12;35;0,342857143;9;31;0,290322581;13;19;0,684210526;16;22;8;6;13;;9;64;14;17;31;16;13;10;1;2;19;19;0;58;;TOTAUX EQUIPE;;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;E. Naigre;23;9;0,15;23,15;3;9;0,333333333;2;7;0,285714286;1;2;0,5;1;1;1;;;;;;;;8;1;1;2;6;3;0;0;0;3;2;-11;7;13;E. Naigre;;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;A. Alston;31;54;0,9;31,9;8;13;0,615384615;7;11;0,636363636;1;2;0,5;5;5;1;;;;;;;;22;0;1;1;2;1;0;0;1;4;3;-30;19;22;A. Alston;;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;A. Jenkins;29;24;0,4;29,4;3;6;0,5;2;5;0,4;1;1;1;2;2;1;;;;;;;;9;1;3;4;5;0;2;0;0;3;2;-21;17;24;A. Jenkins;;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;G. Rabot;24;37;0,62;24,62;2;9;0,222222222;2;6;0,333333333;0;3;0;3;4;0,75;;;;;;;;7;0;6;6;3;0;2;0;0;1;4;-12;10;26;G. Rabot;;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;Capitaine;Starter;R. Bernies;33;40;0,67;33,67;4;12;0,333333333;1;4;0,25;3;8;0,375;0;0;;;;;;;;;11;0;3;3;3;5;1;0;0;1;3;-15;5;47;R. Bernies(C);;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;M. Lokoka;3;31;0,52;3,52;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;1;1;2;0;0;0;0;0;0;0;-10;2;1;M. Lokoka;;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;L. Djoko;3;31;0,52;3,52;0;3;0;0;3;0;0;0;;1;2;0,5;;;;;;;;1;0;2;2;0;0;0;0;0;1;1;-10;-1;4;L. Djoko;;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;S. Caetano;9;18;0,3;9,3;0;4;0;0;3;0;0;1;0;0;0;;;;;;;;;0;1;0;1;0;0;0;0;1;3;1;-26;-3;8;S. Caetano;;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;M. Toure;20;32;0,53;20,53;2;8;0,25;1;3;0,333333333;1;5;0,2;0;1;0;;;;;;;;5;0;1;1;1;2;2;0;0;1;1;-25;0;28;M. Toure;;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;K. Linskens;20;25;0,42;20,42;2;4;0,5;2;4;0,5;0;0;;0;0;;;;;;;;;4;0;2;2;3;0;0;0;0;4;0;-20;7;31;K. Linskens;;;
23-24;1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;ERREUR;ERREUR;ERREUR;ERREUR;24;68;0,352941176;17;46;0,369565217;7;22;0,318181818;12;15;0,8;17;30;3;14;10;14;9;67;7;21;28;23;12;7;0;2;21;17;0;66;;TOTAUX EQUIPE;;;
